access_id,is_anomaly,anomaly_type,severity,explanation
ACC-000000,True,BULK_EXPORT,HIGH,Exported 14518 records from Customer_Vault (avg is 166). Volume is 87x normal.
ACC-000001,True,PRIVILEGE_ESCALATION,HIGH,junior-tier user accessed Board_Materials (restricted). Exceeds privilege level.
ACC-000002,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000003,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000004,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000005,True,BULK_EXPORT,HIGH,Exported 103832 records from Legal_Documents (avg is 1598). Volume is 65x normal.
ACC-000006,True,BULK_EXPORT,HIGH,Exported 7246 records from Executive_Dashboard (avg is 142). Volume is 51x normal.
ACC-000007,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000008,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000009,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000010,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000011,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000012,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000013,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000014,True,EXFILTRATION_RISK,CRITICAL,Exported 1946 records from Legal_Documents to personal_device. High exfiltration risk.
ACC-000015,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000016,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000017,True,PRIVILEGE_ESCALATION,HIGH,standard-tier user accessed Backup_System (high). Exceeds privilege level.
ACC-000018,True,EXFILTRATION_RISK,CRITICAL,Exported 819 records from PROD_DB to usb_drive. High exfiltration risk.
ACC-000019,True,PRE_RESIGNATION_DOWNLOAD,CRITICAL,"Employee on notice period downloaded 3485 records from Customer_Vault to cloud_storage. Tenure: 1mo, notice_period=True."
ACC-000020,True,CROSS_DEPT_ACCESS,MEDIUM,HR employee accessed GL_Ledger (high sensitivity) — not in approved assets.
ACC-000021,True,EXFILTRATION_RISK,CRITICAL,Exported 27414 records from Merger_Documents to usb_drive. High exfiltration risk.
ACC-000022,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000023,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000024,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000025,False,NORMAL,NONE,Access within normal behavioral parameters.
