access_id,timestamp,user_id,username,department,data_asset,data_sensitivity,data_category,query_type,rowcount,access_method,destination,status,source_ip,bytes_transferred,session_duration_min,client_application,authentication_method,is_vpn,geo_location,time_classification,anomaly_marker
ACC-000000,2025-04-21 05:58:15,USR-0078,nathan.rodriguez,IT,Customer_Vault,high,PII,EXPORT,14518,SQL_Client,shared_drive,success,10.181.235.37,4094076,6.4,SSMS,MFA,False,New_York,night,BULK_EXPORT
ACC-000001,2025-04-21 08:44:42,USR-0064,robert.park,IT,Board_Materials,restricted,Financial,SELECT,59,Direct_Download,internal_server,success,10.98.90.216,6077,40.9,Python_Script,API_Key,True,Singapore,business_hours,PRIVILEGE_ESCALATION
ACC-000002,2025-04-21 13:10:17,USR-0024,aisha.harris,HR,Payroll_System,restricted,PII,SELECT,850,BI_Tool,shared_drive,success,10.131.154.149,293250,8.9,SAP_GUI,MFA,False,Toronto,business_hours,
ACC-000003,2025-04-21 16:41:40,USR-0067,wei.jackson,Support,Strategic_Plans,restricted,Operational,SELECT,663,Web_Portal,local_workstation,success,10.116.102.137,73593,13.1,SAP_GUI,API_Key,False,Mumbai,business_hours,
ACC-000004,2025-04-21 17:16:57,USR-0027,nathan.park,Marketing,Ops_Dashboard,low,Operational,SELECT,1640,SQL_Client,shared_drive,success,10.1.133.134,223040,16.4,Power_BI,MFA,False,Mumbai,business_hours,
ACC-000005,2025-04-21 19:11:33,USR-0045,jack.gupta,IT,Legal_Documents,high,Legal,EXPORT,103832,Direct_Download,local_workstation,success,10.184.191.185,19728080,13.2,SSMS,MFA,True,Tokyo,after_hours,BULK_EXPORT
ACC-000006,2025-04-22 12:01:32,USR-0093,jack.rodriguez,Operations,Executive_Dashboard,high,Financial,SELECT,7246,CLI,internal_server,success,10.12.77.243,1825992,35.2,Tableau,MFA,False,Frankfurt,business_hours,BULK_EXPORT
ACC-000007,2025-04-22 13:41:08,USR-0047,shreya.young,Engineering,Legal_Documents,high,Legal,EXPORT,65,BI_Tool,internal_server,success,10.40.194.196,24180,8.7,SSMS,SSO,False,Sydney,business_hours,
ACC-000008,2025-04-22 16:12:58,USR-0001,xiulan.iyer,Finance,AP_System,high,Financial,BULK_DOWNLOAD,252,SQL_Client,internal_server,success,10.59.208.166,62244,30.5,SAP_GUI,SSO,False,Frankfurt,business_hours,
ACC-000009,2025-04-22 16:43:07,USR-0001,xiulan.iyer,Finance,AP_System,high,Financial,INSERT,209,BI_Tool,local_workstation,success,10.138.56.250,70015,31.8,SSMS,SSO,False,London,business_hours,
ACC-000010,2025-04-23 09:18:46,USR-0079,nisha.garcia,Sales,CRM_Database,high,PII,SELECT,4670,BI_Tool,internal_server,success,10.159.227.187,513700,18.7,Tableau,Certificate,False,New_York,business_hours,
ACC-000011,2025-04-23 12:10:14,USR-0061,simran.brown,Legal,Logistics_System,medium,Operational,INSERT,1754,BI_Tool,local_workstation,success,10.152.116.237,499890,15.1,API_Client,SSO,True,Frankfurt,business_hours,
ACC-000012,2025-04-23 12:55:32,USR-0068,nathan.colombo,Legal,Contract_Repository,high,Legal,UPDATE,33,BI_Tool,local_workstation,success,10.172.223.76,2871,10.6,Excel,SSO,False,London,business_hours,
ACC-000013,2025-04-23 13:53:17,USR-0082,siri.dubois,Legal,Legal_Documents,high,Legal,UPDATE,111,Web_Portal,internal_server,success,10.137.43.197,20424,12.5,Power_BI,SSO,True,Toronto,business_hours,
ACC-000014,2025-04-23 15:41:15,USR-0006,liam.sanchez,Engineering,Legal_Documents,high,Legal,BULK_DOWNLOAD,1946,BI_Tool,personal_device,success,10.132.91.244,266602,11.7,SSMS,API_Key,False,Mumbai,business_hours,EXFILTRATION_RISK
ACC-000015,2025-04-23 15:58:19,USR-0057,iris.dubois,Operations,Logistics_System,medium,Operational,UPDATE,1316,BI_Tool,internal_server,success,10.200.62.216,250040,17.0,API_Client,MFA,True,London,business_hours,
ACC-000016,2025-04-23 18:24:50,USR-0087,brett.perez,Sales,CRM_Database,high,PII,UPDATE,1108,BI_Tool,internal_server,success,10.43.13.51,361208,11.4,Excel,MFA,False,Toronto,after_hours,
ACC-000017,2025-04-23 21:02:02,USR-0036,rachel.kim,Sales,Backup_System,high,Technical,SELECT,168,BI_Tool,shared_drive,success,10.228.208.201,39312,4.7,API_Client,Password_Only,False,Tokyo,after_hours,PRIVILEGE_ESCALATION
ACC-000018,2025-04-23 21:23:22,USR-0014,jack.moreau,HR,PROD_DB,high,Technical,BULK_DOWNLOAD,819,BI_Tool,usb_drive,success,10.237.102.197,208845,18.1,API_Client,Certificate,False,Tokyo,after_hours,EXFILTRATION_RISK
ACC-000019,2025-04-23 21:37:51,USR-0039,patrick.zhang,Support,Customer_Vault,high,PII,SELECT,3485,BI_Tool,cloud_storage,success,10.34.51.163,397290,9.9,SSMS,SSO,False,New_York,after_hours,PRE_RESIGNATION_DOWNLOAD
